hero,deck,percent
Shaman,Midrange,20.75
Shaman,Control,1.12
Shaman,Aggro,0.93
Shaman,Other,0.8
Shaman,Evolve,0.48
Hunter,Secret,6.83
Hunter,Face,4.34
Hunter,Midrange,2.71
Hunter,Midrange,0.33
Warrior,Control,4.22
Warrior,CThun,2.9
Warrior,Pirate,2.87
Warrior,Dragon,2.54
Warrior,Other,0.35
Mage,Tempo,7.42
Mage,Freeze,1.89
Mage,Reno,1.66
Mage,Aggro,0.49
Mage,Other,0.27
Druid,Spell,7.04
Druid,Beast,1.97
Druid,Other,1.77
Druid,CThun,0.91
Warlock,Zoo,5.73
Warlock,Reno,2.24
Warlock,Other,0.66
Rogue,Miracle,5.16
Rogue,Other,1.65
Priest,Control,3.12
Priest,Dragon,1.53
Priest,Other,0.5
Paladin,Anyfin,2.06
Paladin,Dragon,0.97
Paladin,Control,0.94
Paladin,Aggro,0.51
Paladin,Secret,0.27
Paladin,Other,0.08